Instance_ID,Actual_Class,Predicted_Class,Contrast_Class,Counterfactual_Rules,Prediction_Confidence,Confidence,Fidelity,Time_Taken(s)
0,>50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,69.8%,0.10
1,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,66.4%,0.09
2,<=50K,<=50K,>50K,N/A,0.9168674698795181,0.0%,69.6%,0.12
3,<=50K,<=50K,>50K,occupation_Craft-repair > -0.339,0.7173155582487502,100.0%,67.8%,0.11
4,<=50K,<=50K,>50K,occupation_Farming-fishing > -0.1,0.7173155582487502,100.0%,66.4%,0.11
5,<=50K,<=50K,>50K,N/A,1.0,0.0%,68.4%,0.09
6,<=50K,<=50K,>50K,occupation_Priv-house-serv > -0.013 and workclass_Never-worked > -0.009,0.9657786441412173,100.0%,64.8%,0.10
7,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,73.6%,0.09
8,<=50K,<=50K,>50K,N/A,0.9657786441412173,0.0%,69.4%,0.10
9,<=50K,<=50K,>50K,relationship_Wife > -0.176,0.7173155582487502,100.0%,63.8%,0.15
10,<=50K,<=50K,>50K,age > 20.707 and capital-loss <= 152.491,0.9925773195876288,100.0%,67.8%,0.11
11,<=50K,<=50K,>50K,marital-status_Widowed > -0.065,0.9657786441412173,100.0%,62.6%,0.09
12,>50K,>50K,<=50K,N/A,1.0,0.0%,29.8%,0.10
13,<=50K,<=50K,>50K,N/A,0.9925773195876288,0.0%,70.8%,0.09
14,<=50K,<=50K,>50K,N/A,0.9168674698795181,0.0%,68.8%,0.09
15,<=50K,<=50K,>50K,N/A,0.9881516587677726,0.0%,69.2%,0.09
16,>50K,>50K,<=50K,N/A,0.6,0.0%,32.6%,0.09
17,>50K,>50K,<=50K,N/A,0.6795698924731183,0.0%,31.4%,0.10
18,<=50K,<=50K,>50K,N/A,0.9657786441412173,0.0%,71.6%,0.09
19,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,65.8%,0.09
20,<=50K,<=50K,>50K,marital-status_Never-married <= 0.079,0.5720930232558139,100.0%,52.8%,0.09
21,>50K,>50K,<=50K,N/A,0.6795698924731183,0.0%,28.8%,0.09
22,<=50K,<=50K,>50K,N/A,0.9925773195876288,0.0%,69.8%,0.09
23,<=50K,<=50K,>50K,N/A,0.9925773195876288,0.0%,66.0%,0.09
24,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,69.4%,0.09
25,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,65.4%,0.10
26,>50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,67.8%,0.10
27,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,69.0%,0.09
28,<=50K,<=50K,>50K,N/A,0.9168674698795181,0.0%,67.4%,0.10
29,<=50K,<=50K,>50K,N/A,1.0,0.0%,70.6%,0.10
30,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,70.0%,0.09
31,<=50K,<=50K,>50K,occupation_Priv-house-serv > -0.04,0.9657786441412173,100.0%,57.6%,0.10
32,<=50K,>50K,<=50K,N/A,0.6,0.0%,32.8%,0.09
33,>50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,66.6%,0.10
34,<=50K,<=50K,>50K,workclass_Without-pay > -0.022 and workclass_Self-emp-inc > -0.017,0.7173155582487502,100.0%,67.6%,0.10
35,<=50K,<=50K,>50K,N/A,1.0,0.0%,68.0%,0.10
36,<=50K,>50K,<=50K,N/A,0.6,0.0%,30.6%,0.09
37,>50K,<=50K,>50K,N/A,0.9168674698795181,0.0%,65.6%,0.09
38,<=50K,<=50K,>50K,N/A,0.8410493827160493,0.0%,71.8%,0.09
39,<=50K,<=50K,>50K,workclass_Self-emp-inc > -0.203,0.7173155582487502,100.0%,61.4%,0.10
40,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,69.8%,0.09
41,<=50K,<=50K,>50K,N/A,0.9168674698795181,100.0%,69.0%,0.10
42,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,65.4%,0.09
43,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,68.2%,0.10
44,<=50K,<=50K,>50K,N/A,0.9168674698795181,100.0%,65.0%,0.11
45,<=50K,<=50K,>50K,relationship_Not-in-family > 0.603 and occupation_Handlers-cleaners > -0.263,0.9925773195876288,100.0%,63.6%,0.10
46,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,69.2%,0.09
47,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,67.4%,0.09
48,<=50K,<=50K,>50K,N/A,0.9925773195876288,0.0%,68.0%,0.09
49,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,72.6%,0.09
50,<=50K,>50K,<=50K,N/A,0.6795698924731183,0.0%,29.2%,0.10
51,<=50K,<=50K,>50K,N/A,0.9657786441412173,0.0%,69.8%,0.09
52,>50K,>50K,<=50K,N/A,0.9347826086956522,0.0%,33.2%,0.09
53,<=50K,<=50K,>50K,N/A,0.9657786441412173,0.0%,67.0%,0.10
54,<=50K,<=50K,>50K,occupation_Exec-managerial <= 0.028,0.7173155582487502,100.0%,70.6%,0.10
55,>50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,64.0%,0.11
56,<=50K,<=50K,>50K,N/A,0.9925773195876288,0.0%,67.2%,0.10
57,>50K,<=50K,>50K,N/A,0.9168674698795181,0.0%,69.0%,0.10
58,<=50K,<=50K,>50K,N/A,0.9925773195876288,0.0%,72.2%,0.11
59,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,70.6%,0.09
60,>50K,>50K,<=50K,N/A,0.6795698924731183,100.0%,67.2%,0.10
61,>50K,>50K,<=50K,N/A,1.0,0.0%,31.2%,0.10
62,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,65.6%,0.09
63,<=50K,<=50K,>50K,N/A,1.0,0.0%,67.6%,0.09
64,<=50K,<=50K,>50K,occupation_Transport-moving <= 0.171 and race_Asian-Pac-Islander <= 0.071,0.7173155582487502,100.0%,65.0%,0.10
65,<=50K,<=50K,>50K,N/A,0.9925773195876288,0.0%,65.6%,0.10
66,<=50K,<=50K,>50K,N/A,1.0,0.0%,70.6%,0.09
67,<=50K,<=50K,>50K,occupation_Craft-repair <= 0.249 and occupation_Handlers-cleaners > -0.033,1.0,100.0%,69.8%,0.10
68,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,66.8%,0.09
69,<=50K,<=50K,>50K,N/A,0.9657786441412173,0.0%,69.2%,0.10
70,<=50K,<=50K,>50K,N/A,0.9657786441412173,0.0%,70.2%,0.09
71,>50K,<=50K,>50K,N/A,0.9168674698795181,0.0%,67.0%,0.10
72,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,68.4%,0.10
73,<=50K,<=50K,>50K,N/A,0.9925773195876288,0.0%,72.2%,0.11
74,<=50K,<=50K,>50K,N/A,0.9925773195876288,0.0%,60.4%,0.09
75,<=50K,<=50K,>50K,N/A,0.9168674698795181,0.0%,68.8%,0.10
76,<=50K,<=50K,>50K,capital-gain <= 6391.307,0.9925773195876288,100.0%,91.4%,0.10
77,<=50K,>50K,<=50K,marital-status_Widowed <= 0.004 and occupation_Sales > -0.101,0.6,100.0%,55.8%,0.09
78,<=50K,<=50K,>50K,N/A,0.9168674698795181,0.0%,65.4%,0.09
79,<=50K,<=50K,>50K,race_Black > -0.293,0.9881516587677726,100.0%,66.6%,0.10
80,<=50K,<=50K,>50K,N/A,0.9657786441412173,0.0%,67.6%,0.10
81,<=50K,<=50K,>50K,N/A,0.9925773195876288,0.0%,60.0%,0.11
82,<=50K,<=50K,>50K,N/A,0.9657786441412173,0.0%,70.8%,0.09
83,<=50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,71.8%,0.10
84,<=50K,<=50K,>50K,N/A,0.9168674698795181,0.0%,70.6%,0.09
85,<=50K,<=50K,>50K,N/A,0.9657786441412173,0.0%,70.6%,0.09
86,<=50K,<=50K,>50K,N/A,1.0,0.0%,70.8%,0.09
87,<=50K,<=50K,>50K,race_Amer-Indian-Eskimo > -0.156,0.7173155582487502,100.0%,64.6%,0.11
88,<=50K,<=50K,>50K,occupation_Exec-managerial <= 0.14 and education > 0.162,0.7173155582487502,100.0%,67.6%,0.09
89,>50K,<=50K,>50K,N/A,0.7173155582487502,0.0%,66.8%,0.09
90,<=50K,<=50K,>50K,N/A,0.9925773195876288,0.0%,68.4%,0.10
91,<=50K,<=50K,>50K,N/A,0.9925773195876288,0.0%,67.8%,0.09
92,<=50K,<=50K,>50K,N/A,1.0,0.0%,67.6%,0.10
93,<=50K,<=50K,>50K,N/A,0.9657786441412173,0.0%,68.6%,0.10
94,<=50K,<=50K,>50K,N/A,0.9464882943143813,0.0%,68.0%,0.09
95,<=50K,<=50K,>50K,occupation_Prof-specialty > -0.068 and capital-gain <= 6869.34,0.7173155582487502,100.0%,74.8%,0.11
96,<=50K,<=50K,>50K,N/A,0.9657786441412173,0.0%,71.2%,0.10
97,<=50K,<=50K,>50K,N/A,0.9657786441412173,0.0%,70.2%,0.09
98,<=50K,<=50K,>50K,N/A,0.9657786441412173,0.0%,83.4%,0.11
99,<=50K,<=50K,>50K,N/A,1.0,0.0%,68.0%,0.09
