Instance_ID,Actual_Class,Predicted_Class,Contrast_Class,Counterfactual_Rules,Prediction_Confidence,Confidence,Fidelity,Time_Taken(s)
0,>50K,<=50K,>50K,N/A,0.9999999058603756,0.0%,79.4%,0.13
1,<=50K,<=50K,>50K,N/A,0.9999945413185745,0.0%,77.2%,0.13
2,<=50K,<=50K,>50K,N/A,0.9999995976818967,0.0%,78.4%,0.12
3,<=50K,<=50K,>50K,occupation_Exec-managerial > -0.062 and workclass_Without-pay <= 0.009,0.9999997494899843,100.0%,72.8%,0.12
4,<=50K,<=50K,>50K,capital-gain <= 3612.577,0.9999990427212472,100.0%,82.0%,0.12
5,<=50K,<=50K,>50K,N/A,0.9999970755107549,0.0%,77.4%,0.11
6,<=50K,<=50K,>50K,N/A,0.9999999701744593,0.0%,80.0%,0.11
7,<=50K,<=50K,>50K,N/A,0.9999998477865295,0.0%,81.4%,0.12
8,<=50K,<=50K,>50K,N/A,0.9999999983888679,0.0%,79.4%,0.14
9,<=50K,<=50K,>50K,relationship_Unmarried > -0.028,0.9999999183036654,100.0%,76.6%,0.17
10,<=50K,<=50K,>50K,N/A,0.9999999822463757,0.0%,78.6%,0.11
11,<=50K,<=50K,>50K,occupation_Exec-managerial > -0.114 and relationship_Husband <= 0.326,0.9999811353353966,100.0%,68.6%,0.13
12,>50K,<=50K,>50K,N/A,0.9999984076776572,0.0%,77.4%,0.16
13,<=50K,<=50K,>50K,N/A,0.9999999919808248,0.0%,77.8%,0.14
14,<=50K,<=50K,>50K,N/A,0.9999999864461575,0.0%,79.8%,0.14
15,<=50K,<=50K,>50K,N/A,0.9999999877447162,0.0%,77.0%,0.16
16,>50K,<=50K,>50K,N/A,0.9999960589765304,0.0%,77.8%,0.13
17,>50K,<=50K,>50K,N/A,0.9999782631227936,0.0%,76.8%,0.10
18,<=50K,<=50K,>50K,N/A,0.9999999925299916,0.0%,77.0%,0.10
19,<=50K,<=50K,>50K,N/A,0.9983025201440707,0.0%,78.2%,0.13
20,<=50K,<=50K,>50K,occupation_Tech-support > -0.046 and relationship_Own-child > -0.439,0.999994039878055,100.0%,78.4%,0.15
21,>50K,<=50K,>50K,N/A,0.9506111219085243,0.0%,80.0%,0.13
22,<=50K,<=50K,>50K,N/A,0.9999999985080555,0.0%,78.4%,0.13
