Instance_ID,Actual_Class,Predicted_Class,Contrast_Class,Counterfactual_Rules,Prediction_Confidence,Confidence,Fidelity,Time_Taken(s)
0,>50K,<=50K,>50K,N/A,0.6614170446742859,0.0%,75.2%,0.15
1,<=50K,<=50K,>50K,N/A,0.8152584783642578,0.0%,72.8%,0.14
2,<=50K,<=50K,>50K,N/A,0.9086419720311596,0.0%,75.6%,0.16
3,<=50K,<=50K,>50K,N/A,0.6974120924188366,0.0%,70.6%,0.17
4,<=50K,<=50K,>50K,capital-gain <= 3612.577,0.6122758125047362,100.0%,86.0%,0.17
5,<=50K,<=50K,>50K,N/A,0.9992615019395718,0.0%,74.0%,0.15
6,<=50K,<=50K,>50K,occupation_Sales <= 0.253 and occupation_Transport-moving <= 0.113,0.9896112662254821,100.0%,70.4%,0.15
7,<=50K,<=50K,>50K,N/A,0.8173966151707495,0.0%,78.2%,0.15
8,<=50K,<=50K,>50K,N/A,0.9951294057826516,0.0%,76.0%,0.14
9,<=50K,<=50K,>50K,occupation_Sales <= 0.133 and capital-gain <= 1574.804,0.810796534964546,100.0%,75.8%,0.17
10,<=50K,<=50K,>50K,N/A,0.9912179040958411,0.0%,82.4%,0.15
11,<=50K,<=50K,>50K,N/A,0.9631949177131185,0.0%,75.4%,0.15
12,>50K,>50K,<=50K,N/A,0.824045439186537,0.0%,26.0%,0.15
13,<=50K,<=50K,>50K,N/A,0.9992524275294083,0.0%,77.6%,0.15
14,<=50K,<=50K,>50K,N/A,0.9660240870199912,0.0%,74.6%,0.14
15,<=50K,<=50K,>50K,N/A,0.9949315362674205,0.0%,73.2%,0.14
16,>50K,<=50K,>50K,N/A,0.6312893852270246,0.0%,73.0%,0.14
17,>50K,>50K,<=50K,N/A,0.5186151499921435,0.0%,24.0%,0.14
18,<=50K,<=50K,>50K,N/A,0.9808899106435207,0.0%,77.2%,0.14
19,<=50K,<=50K,>50K,N/A,0.7125695987981168,0.0%,71.6%,0.14
20,<=50K,<=50K,>50K,marital-status_Never-married <= 0.308 and workclass_Self-emp-not-inc > -0.147,0.6915827504481683,100.0%,70.4%,0.14
21,>50K,>50K,<=50K,N/A,0.5136075509020482,0.0%,21.8%,0.14
22,<=50K,<=50K,>50K,N/A,0.998079599190507,0.0%,74.8%,0.14
23,<=50K,<=50K,>50K,age <= 46.934,0.9988376135382161,100.0%,66.4%,0.14
24,<=50K,<=50K,>50K,N/A,0.7436876916993941,0.0%,75.2%,0.14
25,<=50K,<=50K,>50K,N/A,0.8150072154148501,0.0%,71.6%,0.15
26,>50K,<=50K,>50K,N/A,0.8023168408572494,0.0%,73.6%,0.15
27,<=50K,<=50K,>50K,N/A,0.7095186359883379,0.0%,74.6%,0.14
28,<=50K,<=50K,>50K,N/A,0.7973807466618811,0.0%,73.8%,0.14
29,<=50K,<=50K,>50K,N/A,0.9984780023299517,0.0%,76.2%,0.14
30,<=50K,<=50K,>50K,N/A,0.8692529848380701,0.0%,75.6%,0.14
31,<=50K,<=50K,>50K,N/A,0.9857122421226054,0.0%,73.0%,0.14
32,<=50K,<=50K,>50K,N/A,0.6426462034193547,0.0%,75.8%,0.14
33,>50K,<=50K,>50K,N/A,0.733580881933608,0.0%,72.4%,0.14
34,<=50K,<=50K,>50K,race_Other <= 0.075,0.8146607524969711,100.0%,56.6%,0.15
35,<=50K,<=50K,>50K,N/A,0.999174077100275,0.0%,73.6%,0.15
36,<=50K,<=50K,>50K,N/A,0.5078358523510512,0.0%,76.4%,0.14
37,>50K,<=50K,>50K,N/A,0.8926916948636443,0.0%,73.4%,0.14
38,<=50K,<=50K,>50K,N/A,0.8867962204038315,0.0%,77.4%,0.14
39,<=50K,<=50K,>50K,capital-gain <= 614.783,0.642635310085092,100.0%,73.2%,0.15
40,<=50K,<=50K,>50K,N/A,0.7535749136105311,0.0%,75.4%,0.14
41,<=50K,<=50K,>50K,N/A,0.9262162095816742,0.0%,89.4%,0.16
42,<=50K,<=50K,>50K,N/A,0.6017327518654436,0.0%,71.2%,0.14
43,<=50K,<=50K,>50K,N/A,0.7243906137792974,0.0%,73.4%,0.15
44,<=50K,<=50K,>50K,N/A,0.9307967015548531,100.0%,71.8%,0.15
45,<=50K,<=50K,>50K,capital-gain <= 4147.572,0.9965532963488951,100.0%,84.2%,0.15
46,<=50K,<=50K,>50K,N/A,0.7506483554853292,0.0%,74.0%,0.14
47,<=50K,<=50K,>50K,N/A,0.7358083144750558,0.0%,72.6%,0.14
