Instance_ID,Actual_Class,Predicted_Class,Contrast_Class,Counterfactual_Rules,Prediction_Confidence,Confidence,Fidelity,Time_Taken(s)
0,Good Credit,Good Credit,Bad Credit,N/A,0.9473684210526315,0.0%,77.6%,0.11
1,Good Credit,Good Credit,Bad Credit,N/A,0.5833333333333334,0.0%,78.4%,0.09
2,Good Credit,Bad Credit,Good Credit,N/A,0.6444444444444445,0.0%,25.4%,0.11
3,Good Credit,Good Credit,Bad Credit,N/A,0.9,0.0%,79.0%,0.10
4,Good Credit,Bad Credit,Good Credit,N/A,0.7142857142857143,0.0%,20.4%,0.10
5,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,76.0%,0.11
6,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,78.8%,0.10
7,Good Credit,Good Credit,Bad Credit,N/A,0.8333333333333334,0.0%,77.2%,0.10
8,Good Credit,Good Credit,Bad Credit,N/A,0.5675675675675675,0.0%,78.0%,0.10
9,Bad Credit,Good Credit,Bad Credit,N/A,0.8,0.0%,79.4%,0.10
10,Bad Credit,Bad Credit,Good Credit,N/A,0.6444444444444445,0.0%,21.8%,0.09
11,Good Credit,Bad Credit,Good Credit,N/A,1.0,0.0%,20.0%,0.09
12,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,76.6%,0.10
13,Bad Credit,Good Credit,Bad Credit,N/A,0.8823529411764706,0.0%,75.6%,0.10
14,Good Credit,Bad Credit,Good Credit,N/A,0.7142857142857143,0.0%,21.2%,0.10
15,Bad Credit,Bad Credit,Good Credit,N/A,0.8666666666666667,0.0%,22.8%,0.09
16,Good Credit,Good Credit,Bad Credit,N/A,0.5714285714285714,0.0%,77.6%,0.10
17,Bad Credit,Good Credit,Bad Credit,N/A,0.8,0.0%,74.0%,0.09
18,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,77.8%,0.09
19,Good Credit,Good Credit,Bad Credit,N/A,0.5833333333333334,0.0%,78.4%,0.10
20,Bad Credit,Bad Credit,Good Credit,N/A,0.6444444444444445,0.0%,18.4%,0.10
21,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,74.8%,0.09
22,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,79.8%,0.10
23,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,78.2%,0.10
24,Bad Credit,Good Credit,Bad Credit,N/A,0.5833333333333334,0.0%,77.4%,0.10
25,Good Credit,Good Credit,Bad Credit,N/A,0.9473684210526315,0.0%,82.0%,0.10
26,Good Credit,Good Credit,Bad Credit,N/A,0.8181818181818182,0.0%,78.2%,0.10
27,Good Credit,Good Credit,Bad Credit,N/A,0.6,0.0%,78.2%,0.10
28,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,80.0%,0.10
29,Bad Credit,Good Credit,Bad Credit,N/A,0.5833333333333334,0.0%,75.2%,0.10
30,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,81.6%,0.09
31,Bad Credit,Bad Credit,Good Credit,N/A,0.6444444444444445,0.0%,25.4%,0.09
32,Bad Credit,Good Credit,Bad Credit,N/A,0.8,0.0%,78.8%,0.10
33,Good Credit,Good Credit,Bad Credit,N/A,0.8333333333333334,0.0%,79.2%,0.10
34,Good Credit,Good Credit,Bad Credit,N/A,0.5675675675675675,0.0%,80.6%,0.10
35,Bad Credit,Good Credit,Bad Credit,N/A,0.7,0.0%,79.4%,0.09
36,Good Credit,Good Credit,Bad Credit,N/A,0.8333333333333334,0.0%,77.8%,0.09
37,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,77.2%,0.11
38,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,76.6%,0.10
39,Good Credit,Good Credit,Bad Credit,N/A,0.9230769230769231,0.0%,76.8%,0.10
40,Good Credit,Good Credit,Bad Credit,N/A,0.7,0.0%,76.8%,0.09
41,Bad Credit,Bad Credit,Good Credit,N/A,0.7142857142857143,0.0%,21.0%,0.10
42,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,78.2%,0.10
43,Bad Credit,Good Credit,Bad Credit,N/A,0.5675675675675675,0.0%,76.4%,0.10
44,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,79.0%,0.09
45,Good Credit,Bad Credit,Good Credit,N/A,1.0,0.0%,23.4%,0.10
46,Good Credit,Good Credit,Bad Credit,N/A,0.9,0.0%,78.6%,0.21
47,Good Credit,Good Credit,Bad Credit,N/A,0.8333333333333334,0.0%,78.0%,0.14
48,Bad Credit,Good Credit,Bad Credit,N/A,0.5833333333333334,0.0%,78.0%,0.21
49,Bad Credit,Good Credit,Bad Credit,N/A,0.5675675675675675,0.0%,78.6%,0.14
50,Bad Credit,Bad Credit,Good Credit,N/A,0.6428571428571429,0.0%,21.8%,0.10
51,Bad Credit,Good Credit,Bad Credit,N/A,0.8,0.0%,81.8%,0.10
52,Bad Credit,Good Credit,Bad Credit,N/A,0.8333333333333334,0.0%,82.8%,0.10
53,Good Credit,Bad Credit,Good Credit,N/A,0.6428571428571429,0.0%,22.6%,0.10
54,Bad Credit,Bad Credit,Good Credit,N/A,0.6444444444444445,0.0%,23.4%,0.10
55,Bad Credit,Bad Credit,Good Credit,N/A,0.8,0.0%,21.8%,0.09
56,Bad Credit,Good Credit,Bad Credit,N/A,0.5675675675675675,0.0%,79.0%,0.10
57,Good Credit,Bad Credit,Good Credit,N/A,0.7142857142857143,0.0%,23.2%,0.12
58,Good Credit,Bad Credit,Good Credit,N/A,0.6444444444444445,0.0%,22.0%,0.11
59,Bad Credit,Good Credit,Bad Credit,N/A,0.8421052631578947,0.0%,76.6%,0.10
60,Bad Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,79.0%,0.10
61,Good Credit,Bad Credit,Good Credit,N/A,0.8666666666666667,0.0%,21.4%,0.09
62,Bad Credit,Bad Credit,Good Credit,N/A,0.6444444444444445,0.0%,21.6%,0.10
63,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,81.2%,0.10
64,Bad Credit,Good Credit,Bad Credit,N/A,0.8,0.0%,79.0%,0.09
65,Good Credit,Good Credit,Bad Credit,N/A,0.9,0.0%,73.4%,0.10
66,Good Credit,Good Credit,Bad Credit,N/A,0.5454545454545454,0.0%,78.6%,0.09
67,Bad Credit,Good Credit,Bad Credit,N/A,0.8421052631578947,0.0%,76.0%,0.10
68,Good Credit,Good Credit,Bad Credit,N/A,0.5454545454545454,0.0%,78.4%,0.10
69,Good Credit,Good Credit,Bad Credit,N/A,0.7,0.0%,74.0%,0.10
70,Good Credit,Good Credit,Bad Credit,N/A,0.9444444444444444,0.0%,77.4%,0.10
71,Good Credit,Bad Credit,Good Credit,N/A,0.6842105263157895,0.0%,21.6%,0.10
72,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,80.6%,0.10
73,Good Credit,Good Credit,Bad Credit,N/A,0.8421052631578947,0.0%,77.8%,0.10
74,Bad Credit,Bad Credit,Good Credit,N/A,1.0,0.0%,22.6%,0.10
75,Good Credit,Good Credit,Bad Credit,N/A,0.8333333333333334,0.0%,79.6%,0.10
76,Good Credit,Good Credit,Bad Credit,N/A,0.9230769230769231,0.0%,79.0%,0.11
77,Good Credit,Good Credit,Bad Credit,N/A,1.0,0.0%,75.4%,0.14
78,Bad Credit,Good Credit,Bad Credit,N/A,0.8333333333333334,0.0%,76.2%,0.10
79,Good Credit,Bad Credit,Good Credit,N/A,0.6842105263157895,0.0%,23.8%,0.13
