Instance_ID,Actual_Class,Predicted_Class,Contrast_Class,Counterfactual_Rules,Prediction_Confidence,Confidence,Fidelity,Time_Taken(s)
0,1,0,1,personal_status > -1.514 and credit_amount <= 1.56,0.5224867432486318,100.0%,86.6%,0.17
1,0,1,0,N/A,0.5653726259535706,100.0%,71.4%,0.14
2,0,1,0,property_magnitude > 0.23,0.6644776113139601,100.0%,84.4%,0.14
3,0,0,1,employment > -2.689,0.7975123869067009,100.0%,78.2%,0.11
4,0,0,1,checking_status > 0.498 and existing_credits <= 2.121,0.8489978195674219,100.0%,87.2%,0.11
5,0,0,1,age > 0.369,0.5713513348903896,100.0%,80.2%,0.10
6,0,0,1,installment_commitment <= -0.575 and credit_history > -0.659 and own_telephone > 0.439,0.9135726379552653,100.0%,82.0%,0.11
7,0,0,1,N/A,0.7409719358506357,100.0%,85.2%,0.13
8,0,0,1,N/A,0.9780027280416231,0.0%,81.6%,0.12
9,0,0,1,existing_credits > -0.3 and checking_status > -0.493 and other_parties > -0.574,0.8189280349589958,100.0%,83.6%,0.17
10,0,0,1,N/A,0.8315052567912871,0.0%,86.4%,0.14
11,1,1,0,credit_history <= 0.13,0.7612383613979226,100.0%,85.2%,0.17
12,0,0,1,personal_status > -1.274 and purpose > -0.694,0.8095784969911038,100.0%,81.8%,0.13
13,1,1,0,N/A,0.7761980244940543,100.0%,71.8%,0.11
14,1,1,0,existing_credits <= -0.549,0.7172122206005656,100.0%,80.2%,0.14
15,1,0,1,credit_history > -0.698 and checking_status > -1.765,0.6089878228479183,100.0%,84.6%,0.14
16,0,0,1,age > -1.614,0.9164359261248276,100.0%,80.4%,0.09
17,0,0,1,property_magnitude <= 1.283,0.895532564667039,100.0%,84.0%,0.11
18,1,1,0,N/A,0.5022060291244296,100.0%,81.2%,0.11
19,0,0,1,property_magnitude > -0.934,0.6379758471797751,100.0%,82.6%,0.10
20,0,0,1,age <= 0.107 and checking_status > -0.714,0.9016829385225887,100.0%,80.0%,0.11
21,1,0,1,savings_status > -1.296,0.5698536359018231,100.0%,81.0%,0.13
22,0,0,1,N/A,0.8986826333275875,0.0%,83.0%,0.13
23,0,0,1,N/A,0.9673929769749505,0.0%,84.0%,0.10
24,0,0,1,N/A,0.9762037357206763,0.0%,80.4%,0.10
25,1,1,0,N/A,0.7707372995681824,100.0%,82.4%,0.11
26,0,1,0,N/A,0.6136148625398803,100.0%,83.0%,0.11
27,0,1,0,N/A,0.6682646302173116,100.0%,76.4%,0.11
28,0,0,1,housing <= 2.097,0.8944073873829379,100.0%,84.8%,0.09
29,0,0,1,N/A,0.8405851795421151,0.0%,83.4%,0.16
30,0,0,1,age > -2.385,0.8230160727220837,100.0%,82.8%,0.09
31,0,0,1,housing <= -1.012 and credit_history > -1.544,0.8409248136870939,100.0%,85.4%,0.11
32,1,0,1,N/A,0.8602694531560019,0.0%,83.8%,0.14
33,0,0,1,N/A,0.872536002952562,0.0%,85.6%,0.13
34,0,0,1,N/A,0.8556311978591946,0.0%,86.4%,0.11
35,0,0,1,personal_status > -0.095 and foreign_worker > -1.754,0.6296530994361553,100.0%,83.2%,0.09
36,0,0,1,foreign_worker > -1.432,0.560662730691287,100.0%,84.8%,0.10
37,0,0,1,N/A,0.9241652634008868,0.0%,84.8%,0.09
38,0,0,1,N/A,0.9576502335433072,0.0%,82.0%,0.09
39,1,1,0,N/A,0.7220334223555058,100.0%,79.8%,0.11
40,0,0,1,checking_status > -0.661,0.5945386803322041,100.0%,85.2%,0.11
41,0,0,1,N/A,0.9736729299863977,0.0%,82.8%,0.09
42,0,0,1,residence_since > -0.222 and checking_status > -1.799,0.587208883430147,100.0%,85.4%,0.12
43,0,0,1,other_payment_plans > 0.328 and own_telephone > -0.518,0.8635792879478603,100.0%,86.4%,0.13
44,0,0,1,checking_status > -1.692,0.8610920761045441,100.0%,81.2%,0.11
45,0,0,1,N/A,0.8417221905155805,0.0%,85.2%,0.10
46,1,1,0,checking_status <= -0.313,0.6771223212157139,100.0%,85.2%,0.10
47,1,0,1,checking_status > -0.621,0.6035702662006992,100.0%,81.2%,0.12
48,1,0,1,other_parties <= 0.562,0.6680497418968618,100.0%,84.2%,0.11
49,0,0,1,checking_status > -1.292 and housing <= -1.386,0.8781637817608051,100.0%,85.2%,0.10
50,1,1,0,N/A,0.6747378342873953,100.0%,79.2%,0.13
51,0,0,1,N/A,0.9438001210998649,0.0%,84.6%,0.09
52,0,0,1,existing_credits <= -0.104,0.514662359770218,100.0%,82.2%,0.12
53,1,1,0,N/A,0.6373614941735751,100.0%,86.2%,0.15
54,0,0,1,own_telephone > -1.487 and employment > -1.599,0.847489771776557,100.0%,85.6%,0.11
55,0,0,1,other_payment_plans <= -1.068,0.8161829662135565,100.0%,83.6%,0.10
56,0,0,1,N/A,0.7296483239491651,100.0%,81.6%,0.09
57,1,1,0,N/A,0.5095891492019062,100.0%,83.0%,0.10
58,0,0,1,existing_credits > -0.886,0.5011286511907667,100.0%,81.2%,0.11
59,0,0,1,credit_history > -0.771 and checking_status > -0.45,0.8972605779768225,100.0%,84.2%,0.10
60,0,0,1,job > -0.492 and credit_history > -0.541 and other_parties <= -0.203,0.8472539353564791,100.0%,84.0%,0.10
61,1,0,1,foreign_worker > -0.751,0.5839604428438594,100.0%,76.4%,0.11
62,1,1,0,N/A,0.5052731156860943,100.0%,83.2%,0.12
63,0,0,1,N/A,0.9831532040513511,0.0%,84.2%,0.09
64,0,0,1,other_parties > -0.546,0.6322585469915004,100.0%,84.4%,0.10
65,0,0,1,checking_status > -1.179,0.6373448331139502,100.0%,83.6%,0.14
66,0,0,1,other_parties > -0.451,0.8871851360976051,100.0%,82.8%,0.11
67,0,1,0,N/A,0.7394506121551804,100.0%,84.0%,0.12
68,0,0,1,num_dependents > -0.732 and credit_history > -1.323,0.6398045802823997,100.0%,82.4%,0.09
69,1,0,1,other_parties <= 1.029,0.8154941437531324,100.0%,84.4%,0.10
70,0,0,1,checking_status > -1.232 and foreign_worker <= -0.059 and residence_since > -1.055,0.6107339719851377,100.0%,87.6%,0.10
71,0,0,1,checking_status > -0.974 and foreign_worker > -0.878,0.8529134222762718,100.0%,84.4%,0.09
72,0,0,1,N/A,0.7806383694819411,100.0%,84.6%,0.11
73,0,1,0,N/A,0.5367663412374617,100.0%,85.6%,0.11
74,0,0,1,credit_history > -0.273,0.5835845580482675,100.0%,82.6%,0.12
75,1,0,1,personal_status > -0.123 and credit_history > -0.538,0.6337062474531132,100.0%,82.2%,0.13
76,1,0,1,job <= 0.455,0.6752169877902783,100.0%,77.8%,0.10
77,0,0,1,N/A,0.6561433689748979,0.0%,83.8%,0.11
78,1,0,1,N/A,0.8416869645314505,100.0%,87.8%,0.12
79,1,0,1,checking_status > -1.461,0.531924761434097,100.0%,86.4%,0.12
80,0,0,1,N/A,0.8289918667815402,0.0%,84.2%,0.09
81,0,0,1,N/A,0.7407100371923021,0.0%,82.6%,0.09
82,0,0,1,credit_history > -1.677,0.9183441920047525,100.0%,83.4%,0.09
83,0,0,1,purpose > -1.744 and num_dependents > -1.463,0.77073624278429,100.0%,83.8%,0.10
84,0,0,1,num_dependents <= 0.558 and savings_status > -2.028,0.8997492200174706,100.0%,84.8%,0.14
85,1,1,0,N/A,0.7488884903044639,100.0%,81.2%,0.13
86,1,1,0,N/A,0.7414287606865392,100.0%,73.0%,0.09
87,1,1,0,checking_status <= 0.576,0.8641310896038493,100.0%,76.6%,0.15
88,0,0,1,checking_status > -0.154,0.7355815181348578,100.0%,85.8%,0.11
89,0,0,1,N/A,0.8277592812071355,0.0%,84.4%,0.09
90,0,0,1,residence_since <= 1.247,0.8293199183522028,100.0%,83.6%,0.12
91,0,0,1,checking_status > -0.636,0.8910342277024965,100.0%,82.2%,0.11
92,1,1,0,checking_status <= -0.618,0.8938205888664446,100.0%,81.8%,0.11
93,0,1,0,N/A,0.5821081509471819,100.0%,85.8%,0.11
94,0,0,1,N/A,0.9055604730092961,0.0%,85.6%,0.11
95,0,0,1,N/A,0.9489472032253116,0.0%,83.0%,0.14
96,0,0,1,N/A,0.9154699889647344,0.0%,84.8%,0.11
97,0,1,0,N/A,0.5645314036904727,100.0%,81.0%,0.11
