Instance_ID,Actual_Class,Predicted_Class,Contrast_Class,Counterfactual_Rules,Prediction_Confidence,Confidence,Fidelity,Time_Taken(s)
0,0,0,1,thal > -0.979 and oldpeak <= 0.076 and trestbps <= -0.67,0.9520398128880815,100.0%,54.8%,0.12
1,1,0,1,restecg > -1.734,0.7262202236068451,100.0%,56.6%,0.02
2,0,0,1,ca <= 1.17,0.9561428522487901,100.0%,74.6%,0.12
3,1,1,0,thal > -1.309,0.9521562016263779,100.0%,58.2%,0.15
4,0,0,1,N/A,0.9045594407779753,0.0%,75.4%,0.18
5,0,0,1,N/A,0.6526280815319243,100.0%,73.4%,0.14
6,0,0,1,thal <= 0.003 and trestbps <= 0.548,0.8551795463664267,100.0%,67.0%,0.12
7,0,1,0,sex > 0.37,0.5946569518767474,100.0%,72.6%,0.15
8,1,1,0,thalach <= 0.774 and oldpeak > 0.59,0.7553087468014015,100.0%,65.4%,0.13
9,0,0,1,ca <= 0.296,0.8051671311533077,100.0%,71.6%,0.14
10,1,1,0,N/A,0.5664655703111724,100.0%,71.0%,0.15
11,0,0,1,fbs > -2.422,0.855758209302632,100.0%,72.0%,0.11
12,0,0,1,thal <= 0.164 and fbs > -1.222,0.9627020564041103,100.0%,63.8%,0.11
13,0,0,1,sex <= 0.431,0.7663985339043005,100.0%,66.2%,0.15
14,0,0,1,sex <= -0.509 and thal <= 0.105 and chol > -0.06,0.6729183940211606,100.0%,60.6%,0.14
15,0,0,1,fbs > -0.647 and exang <= -0.575,0.9720959759568388,100.0%,56.0%,0.12
16,0,0,1,cp <= -0.64 and ca <= -0.235,0.7096550906218178,100.0%,71.2%,0.14
17,0,0,1,exang <= -0.188 and sex > 0.479 and ca <= 0.004 and exang <= 0.436 and sex > -1.255 and age > -0.406,0.5184451387119716,100.0%,73.2%,0.15
18,1,1,0,thal > -0.694 and cp > -0.887,0.5644845858632147,100.0%,72.8%,0.12
19,0,0,1,thal <= -0.072,0.8848456608786512,100.0%,65.0%,0.11
20,1,1,0,ca > -0.217 and chol <= 0.343 and oldpeak > -0.729,0.7409845986326361,100.0%,75.6%,0.14
21,1,1,0,ca > -0.506,0.678574955614151,100.0%,76.2%,0.12
22,1,1,0,exang > 0.678 and ca <= -0.534 and sex <= -0.62 and exang > 0.455 and thalach <= 0.353,0.5580243813198291,100.0%,65.6%,0.13
23,0,0,1,trestbps <= -0.947,0.8263185186660935,100.0%,68.4%,0.16
24,1,1,0,oldpeak > -0.548 and chol <= 0.547,0.7456858056971407,100.0%,74.4%,0.15
25,0,0,1,ca <= -0.452 and trestbps <= -0.385 and oldpeak <= -0.26,0.8994772525952479,100.0%,70.2%,0.12
26,1,1,0,fbs <= -0.076 and age <= 0.434,0.908091724357255,100.0%,64.6%,0.13
27,1,1,0,thal > 0.159,0.5345597167883362,100.0%,71.8%,0.13
28,0,0,1,slope <= 0.369,0.7333150090643019,100.0%,74.8%,0.12
29,0,0,1,thalach > 0.655 and trestbps <= -0.545 and chol <= 0.504 and thal <= -0.311,0.9238447384631537,100.0%,58.8%,0.10
30,0,0,1,N/A,0.8720208679142643,0.0%,70.6%,0.11
31,0,0,1,N/A,0.9746037916737434,0.0%,57.2%,0.09
32,1,1,0,N/A,0.9539597734718892,0.0%,49.0%,0.13
33,0,0,1,N/A,0.7928434004431051,100.0%,69.8%,0.11
34,0,0,1,ca <= -0.106 and thalach > 0.18,0.8064227035916336,100.0%,72.4%,0.12
35,0,0,1,ca <= -0.39 and thal <= -0.84,0.7766800921492094,100.0%,73.0%,0.11
36,1,1,0,N/A,0.5377223482256188,100.0%,67.6%,0.12
37,0,0,1,thalach > 0.348 and restecg <= 0.305,0.875496787922186,100.0%,64.2%,0.10
38,1,1,0,oldpeak > 0.712,0.970051669016303,100.0%,52.4%,0.10
39,1,1,0,ca > 0.895,0.7285346502547717,100.0%,69.0%,0.13
40,0,0,1,ca <= 0.679 and fbs <= -0.31,0.9229468866947962,100.0%,69.6%,0.10
41,1,1,0,ca > -0.17 and sex > -0.145,0.8876684440489901,100.0%,65.4%,0.10
42,1,1,0,slope > 0.967 and chol > 0.22 and restecg > -0.572,0.8463869836582475,100.0%,53.2%,0.09
43,0,1,0,slope > -1.477,0.5042590160882479,100.0%,72.8%,0.17
44,0,0,1,oldpeak <= 0.671,0.945858071171164,100.0%,74.8%,0.13
45,1,0,1,cp <= -0.079,0.5009956239021184,100.0%,69.6%,0.11
46,0,0,1,thal <= -0.722 and ca <= 0.534,0.7504687701468937,100.0%,75.2%,0.10
47,1,1,0,trestbps > 1.031 and thal > 0.535 and slope > -1.29,0.9487856889077471,100.0%,70.4%,0.12
48,0,0,1,N/A,0.5496802742445612,100.0%,72.8%,0.14
49,0,0,1,thal <= 0.838,0.9317685129475864,100.0%,58.8%,0.10
50,0,0,1,N/A,0.9274719760911736,0.0%,55.2%,0.09
51,1,1,0,ca > 0.224 and fbs > 0.285,0.870314788242458,100.0%,73.4%,0.10
