Instance_ID,Actual_Class,Predicted_Class,Contrast_Class,Counterfactual_Rules,Prediction_Confidence,Confidence,Fidelity,Time_Taken(s)
0,1,0,1,N/A,0.8957006931304932,100.0%,90.8%,0.29
1,0,0,1,education <= 14.567 and capital-gain <= 2840.344,0.7609579563140869,100.0%,91.2%,0.24
2,1,0,1,capital-gain <= 4936.654,0.715788722038269,100.0%,89.2%,0.21
3,0,0,1,occupation <= 6.232 and marital-status > 0.626,0.7550514340400696,100.0%,90.2%,0.21
4,0,0,1,education > 5.575,0.885478675365448,100.0%,92.0%,0.27
5,1,0,1,capital-gain <= 7298.627,0.8428069353103638,100.0%,94.8%,0.20
6,0,0,1,fnlwgt <= 155517.258 and capital-gain <= 6567.36,0.9897839426994324,100.0%,85.8%,0.21
7,0,0,1,N/A,0.9146897196769714,0.0%,92.0%,0.26
8,0,0,1,capital-gain <= 6907.573,0.87517249584198,100.0%,95.0%,0.22
9,0,0,1,fnlwgt > -31862.459,0.856949508190155,100.0%,93.6%,0.26
10,0,0,1,capital-loss <= 425.419 and education-num <= 10.153 and age <= 33.553,0.9986386895179749,100.0%,92.8%,0.24
11,1,0,1,capital-gain <= 5533.085 and native-country > 34.966,0.9165499806404114,100.0%,82.8%,0.21
12,0,0,1,N/A,0.9896555542945862,0.0%,84.0%,0.18
13,0,0,1,capital-gain <= 7928.722,0.9983933568000793,100.0%,91.4%,0.19
14,0,0,1,capital-gain <= 6647.132,0.9838135242462158,100.0%,91.8%,0.21
15,0,0,1,capital-gain <= 6911.365,0.9508413076400757,100.0%,92.6%,0.22
16,0,1,0,occupation <= 3.568,0.5282569527626038,100.0%,88.0%,0.20
17,0,0,1,fnlwgt <= 271084.859 and race > 3.225,0.9838943481445312,100.0%,78.2%,0.20
18,0,0,1,capital-gain <= 5151.108,0.9422221183776855,100.0%,88.6%,0.20
19,0,0,1,N/A,0.999805212020874,0.0%,87.2%,0.19
20,1,0,1,capital-gain <= 3324.978,0.803604245185852,94.8%,81.8%,0.20
21,1,1,0,N/A,0.6132903695106506,100.0%,80.0%,0.20
22,1,1,0,N/A,0.8326073288917542,100.0%,87.2%,0.22
23,1,0,1,capital-gain <= 6507.101,0.8043829798698425,100.0%,90.0%,0.21
24,1,0,1,capital-gain <= 4271.408 and race > 3.109 and age > 30.177,0.6034731864929199,100.0%,83.8%,0.23
25,1,0,1,capital-gain <= 5204.672 and education-num <= 11.526 and capital-gain <= 6464.584,0.8487577438354492,100.0%,89.4%,0.25
26,1,1,0,N/A,0.5770780444145203,100.0%,86.0%,0.22
27,1,1,0,N/A,0.7472158670425415,100.0%,89.6%,0.37
28,0,0,1,capital-gain <= 4701.823,0.5206467509269714,100.0%,89.0%,0.44
29,0,0,1,capital-gain <= 7029.516,0.9814055562019348,100.0%,93.4%,0.32
30,1,1,0,N/A,0.8074079155921936,100.0%,78.4%,0.22
31,0,1,0,N/A,0.5750307440757751,0.0%,92.4%,0.21
32,1,1,0,native-country <= 38.222 and age > 20.875,0.9991368651390076,100.0%,93.4%,0.25
33,0,0,1,capital-gain <= 7173.346,0.9224843978881836,100.0%,92.4%,0.23
34,0,0,1,capital-gain <= 5640.414,0.9976118206977844,98.4%,89.8%,0.22
35,0,0,1,capital-gain <= 5941.412,0.9964635968208313,100.0%,86.8%,0.20
36,0,0,1,education <= 4.862 and hours-per-week > 46.125 and capital-gain <= 6130.077 and sex <= 0.128,0.9418168663978577,100.0%,81.6%,0.20
37,1,1,0,N/A,0.5146495699882507,100.0%,72.6%,0.05
38,0,0,1,capital-gain <= 4195.994,0.9996822476387024,100.0%,86.6%,0.19
39,0,0,1,sex > 0.559 and capital-gain > -8503.563,0.9769222140312195,100.0%,88.4%,0.24
40,0,0,1,capital-gain <= 6947.133,0.9961367845535278,100.0%,94.4%,0.21
41,0,0,1,N/A,0.9928919076919556,0.0%,92.0%,0.19
42,0,0,1,capital-gain <= 3110.977,0.8810836672782898,100.0%,88.0%,0.24
43,0,0,1,capital-gain <= 5996.394 and occupation > 6.271,0.999717116355896,100.0%,91.8%,0.20
44,1,1,0,N/A,0.9534949064254761,0.0%,91.2%,0.24
45,0,0,1,capital-gain <= 4066.588,0.9998335242271423,100.0%,77.4%,0.18
46,1,1,0,N/A,0.7464815378189087,0.0%,89.2%,0.20
47,0,0,1,capital-gain <= 7604.19 and sex <= 0.559,0.999600887298584,100.0%,90.8%,0.22
48,0,0,1,race > 3.298,0.9849035739898682,100.0%,88.8%,0.20
49,0,0,1,capital-gain <= 4243.807,0.5626189708709717,100.0%,83.0%,0.22
50,0,0,1,capital-gain <= 5192.51,0.9957230091094971,100.0%,85.6%,0.18
51,0,0,1,capital-gain <= 4490.723,0.9953653812408447,100.0%,82.8%,0.17
52,0,1,0,N/A,0.5452274680137634,100.0%,85.6%,0.21
53,0,0,1,N/A,0.9870561957359314,100.0%,85.6%,0.19
54,0,0,1,capital-gain <= 6865.068 and education <= 3.685,0.9651472568511963,100.0%,92.2%,0.19
55,0,0,1,capital-gain <= 4268.781 and education-num > 8.908 and capital-gain <= 6136.287,0.5275895595550537,100.0%,87.8%,0.20
56,0,0,1,marital-status > 3.758 and capital-gain <= 5624.502,0.9814692139625549,100.0%,84.6%,0.17
57,1,1,0,capital-gain <= 2720.807,0.616612434387207,100.0%,87.0%,0.19
58,0,0,1,capital-gain <= 7308.422,0.9965106248855591,100.0%,95.8%,0.17
59,0,0,1,capital-gain <= 7872.794,0.8139240741729736,100.0%,95.0%,0.19
60,0,0,1,capital-gain <= 3487.015,0.9855363368988037,100.0%,91.6%,0.19
61,0,0,1,capital-gain <= 4810.274 and capital-loss > -630.022 and capital-gain <= 7373.723,0.9883967041969299,100.0%,89.4%,0.18
62,1,1,0,fnlwgt > 151680.977,0.6539670825004578,100.0%,77.0%,0.20
63,0,0,1,N/A,0.9961545467376709,0.0%,82.6%,0.18
64,0,0,1,N/A,0.9885216355323792,0.0%,75.8%,0.16
65,1,1,0,N/A,0.9958913326263428,100.0%,67.4%,0.18
66,0,0,1,capital-gain <= 7324.054,0.9883435368537903,100.0%,94.2%,0.20
67,0,0,1,N/A,0.8822653293609619,100.0%,82.6%,0.18
68,1,1,0,N/A,0.7501400709152222,100.0%,92.8%,0.18
69,0,0,1,sex <= 0.001 and capital-gain <= 1846.131 and education-num > 10.592 and capital-gain <= 6780.173,0.9798781871795654,100.0%,84.2%,0.19
70,0,0,1,capital-gain <= 5849.207,0.6831525564193726,100.0%,93.0%,0.18
71,0,1,0,education-num > 13.667,0.6923584342002869,100.0%,83.0%,0.21
72,1,1,0,N/A,0.8398876190185547,0.0%,93.4%,0.19
73,0,0,1,capital-gain <= 7186.678,0.6663256883621216,100.0%,92.6%,0.18
74,0,0,1,capital-gain <= 6875.632,0.7917296290397644,100.0%,91.4%,0.18
75,1,1,0,N/A,0.9970249533653259,0.0%,24.8%,0.16
76,1,1,0,N/A,0.9948081374168396,0.0%,92.0%,0.19
77,0,0,1,capital-gain <= 7961.335 and hours-per-week <= 26.688,0.999243438243866,100.0%,93.2%,0.17
78,0,0,1,hours-per-week > 36.39,0.9589527249336243,100.0%,63.6%,0.05
79,0,0,1,hours-per-week <= 51.288,0.9406493306159973,100.0%,89.6%,0.17
80,1,1,0,N/A,0.6807447671890259,100.0%,85.6%,0.21
81,1,1,0,capital-gain <= 6717.182 and race > 3.167 and relationship <= 1.341 and occupation <= 6.01,0.7324584126472473,100.0%,92.8%,0.18
82,1,1,0,N/A,0.6221083402633667,100.0%,93.0%,0.17
83,0,0,1,N/A,0.8531650304794312,0.0%,93.0%,0.19
84,0,0,1,N/A,0.9995140433311462,100.0%,72.2%,0.18
85,0,0,1,N/A,0.9977952241897583,0.0%,85.8%,0.18
86,0,0,1,occupation > 3.89 and marital-status > 1.647,0.5842998027801514,100.0%,90.0%,0.21
87,0,0,1,native-country <= 31.804 and workclass > 0.006,0.9248365163803101,100.0%,76.2%,0.18
88,1,0,1,capital-gain <= 6214.218,0.8179235458374023,100.0%,87.2%,0.21
89,0,0,1,capital-gain <= 5344.94 and native-country > 35.295 and fnlwgt > 169525.742,0.6746127605438232,100.0%,93.8%,0.20
90,0,0,1,capital-gain <= 7321.996,0.9777510762214661,100.0%,94.6%,0.20
91,1,1,0,N/A,0.6371240019798279,100.0%,83.8%,0.19
92,1,1,0,N/A,0.5322011113166809,100.0%,92.2%,0.20
93,1,0,1,hours-per-week > 31.58 and capital-loss > -402.332,0.8704812526702881,100.0%,73.6%,0.20
94,0,0,1,age > 53.866 and capital-gain <= 5933.224 and occupation > -2.935,0.9767920970916748,100.0%,88.0%,0.19
95,1,1,0,capital-gain <= 5128.677,0.9628204703330994,100.0%,94.4%,0.22
96,1,1,0,capital-gain <= 6125.842 and occupation <= 13.915,0.9728052616119385,100.0%,92.8%,0.24
97,1,1,0,N/A,0.9985007047653198,0.0%,92.2%,0.24
98,0,0,1,N/A,0.9952210783958435,0.0%,90.0%,0.20
99,0,0,1,native-country <= 45.681,0.6827067136764526,100.0%,94.0%,0.21
100,0,0,1,capital-gain <= 7116.593,0.9253519773483276,100.0%,92.8%,0.24
101,0,0,1,N/A,0.9972419738769531,0.0%,75.2%,0.18
102,1,1,0,N/A,0.9659565091133118,100.0%,77.6%,0.18
103,0,0,1,relationship <= 0.006 and capital-gain <= 6248.223,0.6591315269470215,100.0%,80.2%,0.07
104,0,0,1,capital-gain <= 6188.502,0.988528311252594,100.0%,87.6%,0.19
105,0,0,1,capital-gain <= 9013.444,0.9896789193153381,100.0%,90.0%,0.18
106,0,0,1,sex <= 1.131 and marital-status <= 2.065,0.9795096516609192,100.0%,69.0%,0.16
107,1,1,0,N/A,0.7230347394943237,0.0%,93.8%,0.21
108,0,0,1,capital-gain <= 5485.154,0.9879807829856873,100.0%,90.8%,0.21
109,0,0,1,relationship <= 0.996 and workclass <= 2.445 and race <= 2.254,0.9823237061500549,100.0%,63.4%,0.18
110,1,1,0,capital-gain <= 5151.878 and sex <= 0.77,0.7568890452384949,100.0%,87.4%,0.19
111,0,0,1,capital-gain <= 6657.917 and race <= 2.172,0.9909045100212097,100.0%,91.6%,0.18
112,1,1,0,N/A,0.5176658034324646,100.0%,86.0%,0.19
113,1,1,0,capital-gain <= 7147.956 and capital-loss > -859.852,0.584830641746521,100.0%,93.2%,0.18
114,0,0,1,capital-gain <= 6604.984,0.9721212387084961,100.0%,90.4%,0.18
115,1,1,0,N/A,0.6460631489753723,100.0%,81.4%,0.20
116,1,0,1,capital-gain <= 5003.215 and education-num <= 11.927,0.9810628294944763,100.0%,93.8%,0.21
117,1,1,0,N/A,0.7587798833847046,100.0%,85.8%,0.19
118,0,0,1,education-num > 3.962,0.9955894947052002,100.0%,95.6%,0.18
119,0,0,1,N/A,0.7894079089164734,100.0%,82.2%,0.17
120,0,0,1,N/A,0.6978217363357544,0.0%,89.2%,0.20
121,1,1,0,N/A,0.5434837937355042,100.0%,90.4%,0.19
122,0,0,1,capital-gain <= 7190.384,0.9765288829803467,100.0%,89.2%,0.20
123,0,0,1,capital-gain <= 7141.163 and relationship <= 2.84,0.9951785802841187,100.0%,93.6%,0.22
124,1,1,0,capital-gain <= 4940.276 and sex > 0.635,0.5368394255638123,100.0%,88.4%,0.19
125,0,0,1,capital-gain <= 8230.44,0.9332427978515625,100.0%,92.0%,0.18
126,0,0,1,capital-gain <= 5048.134,0.9845826029777527,100.0%,90.2%,0.19
127,0,1,0,N/A,0.5521003007888794,0.0%,93.4%,0.19
128,1,1,0,capital-gain <= 2229.051,0.9846765398979187,100.0%,87.8%,0.17
129,1,0,1,capital-gain <= 6425.217,0.7190936207771301,100.0%,91.8%,0.19
130,0,0,1,N/A,0.91431725025177,0.0%,89.8%,0.20
131,0,1,0,N/A,0.5364007949829102,100.0%,80.2%,0.20
132,0,0,1,sex <= 1.053 and race <= 4.107 and sex <= 1.714,0.9899197220802307,100.0%,93.6%,0.22
133,0,0,1,capital-gain <= 7655.267,0.9996077418327332,100.0%,93.8%,0.21
134,0,0,1,capital-gain <= 6676.814,0.8709279298782349,100.0%,93.6%,0.21
135,1,1,0,N/A,0.9594315886497498,0.0%,91.2%,0.19
136,0,0,1,N/A,0.7347695827484131,0.0%,93.2%,0.20
137,0,0,1,N/A,0.9993447661399841,0.0%,76.2%,0.17
138,1,0,1,capital-gain <= 6863.821,0.7085729837417603,100.0%,89.8%,0.23
139,0,0,1,capital-gain <= 4283.494 and native-country > 36.394 and relationship > -0.335 and race <= 2.229,0.9692368507385254,100.0%,88.8%,0.23
140,1,0,1,race > 3.289 and capital-loss <= 227.543,0.702673614025116,100.0%,91.0%,0.23
141,0,0,1,N/A,0.7449327707290649,100.0%,80.8%,0.20
142,1,0,1,workclass > 2.409 and capital-gain <= 2305.888,0.9819737672805786,100.0%,78.4%,0.18
143,0,0,1,capital-gain <= 7170.499,0.9858526587486267,100.0%,94.8%,0.21
144,0,0,1,capital-gain <= 6539.28,0.8496784567832947,100.0%,90.2%,0.19
145,0,0,1,capital-gain <= 6318.402,0.9785775542259216,100.0%,93.4%,0.19
146,0,0,1,capital-gain <= 6108.04,0.9919140338897705,100.0%,91.8%,0.18
147,0,0,1,capital-gain <= 8394.179,0.9787421226501465,100.0%,91.6%,0.19
148,0,0,1,capital-gain <= 6684.061,0.9996559023857117,100.0%,90.2%,0.19
149,0,0,1,occupation <= 6.026 and relationship <= 0.95,0.9681111574172974,100.0%,92.0%,0.30
150,0,0,1,capital-gain <= 7299.674,0.7030961513519287,100.0%,96.2%,0.21
151,0,0,1,capital-gain <= 6603.443 and workclass <= 0.127,0.9765521287918091,100.0%,91.8%,0.17
152,0,0,1,capital-gain <= 3733.835,0.654975414276123,100.0%,83.2%,0.18
153,1,1,0,capital-gain > 7256.959,0.9991505146026611,100.0%,90.8%,0.22
154,0,0,1,native-country > 35.998,0.5778201818466187,100.0%,92.0%,0.20
155,0,0,1,capital-gain <= 6993.736,0.9987221360206604,100.0%,92.0%,0.19
156,0,0,1,capital-gain <= 5897.073 and fnlwgt > 60256.92,0.9834398031234741,100.0%,88.4%,0.20
157,0,0,1,capital-gain <= 2482.2 and race > 3.868 and capital-gain <= 4799.272 and education-num > 12.112,0.7100067734718323,100.0%,79.2%,0.20
158,0,0,1,capital-gain <= 1471.949 and occupation > 6.438 and relationship > 3.91 and capital-gain <= 6549.718,0.566265344619751,100.0%,78.8%,0.18
159,0,1,0,N/A,0.5353705883026123,100.0%,85.2%,0.22
160,0,0,1,N/A,0.9217211008071899,0.0%,92.2%,0.19
161,0,0,1,capital-gain <= 5085.469,0.9667351245880127,100.0%,88.2%,0.18
162,1,1,0,capital-gain <= 4884.615,0.7029858231544495,100.0%,87.8%,0.18
163,0,0,1,N/A,0.9249109625816345,0.0%,92.2%,0.18
164,1,1,0,N/A,0.7863343954086304,100.0%,83.2%,0.20
165,0,0,1,fnlwgt <= 211736.648 and capital-gain <= 2844.973 and race > 3.643,0.8044809103012085,100.0%,91.2%,0.20
166,0,0,1,education-num <= 11.589 and fnlwgt <= 227942.43,0.9927488565444946,100.0%,91.2%,0.19
167,0,0,1,capital-gain <= 7665.412,0.8021279573440552,100.0%,92.8%,0.19
168,1,0,1,N/A,0.6523517370223999,0.0%,95.0%,0.19
169,0,0,1,capital-gain <= 4874.689,0.9737764596939087,100.0%,87.6%,0.18
170,0,1,0,N/A,0.7538079619407654,0.0%,93.8%,0.17
171,0,0,1,N/A,0.9838461875915527,0.0%,89.6%,0.21
172,0,0,1,relationship > 0.053 and workclass <= 2.217,0.8280400037765503,100.0%,85.4%,0.20
173,0,0,1,N/A,0.9989565014839172,0.0%,90.8%,0.17
174,0,0,1,fnlwgt > 103050.25 and occupation <= 7.794,0.7116975784301758,100.0%,93.0%,0.21
175,0,0,1,capital-gain <= 6098.097 and workclass > 2.46,0.9615501761436462,99.6%,90.8%,0.18
176,0,0,1,capital-gain <= 7068.395 and relationship > 0.985 and capital-gain <= 8624.67,0.9995775818824768,100.0%,92.8%,0.20
177,0,0,1,marital-status <= 0.311 and capital-gain <= 5002.538,0.9816417098045349,100.0%,89.6%,0.22
178,0,0,1,native-country <= 24.088 and capital-gain <= 4267.764,0.9900761246681213,100.0%,87.2%,0.18
179,0,0,1,N/A,0.554745078086853,100.0%,65.6%,0.16
180,1,0,1,capital-gain <= 7308.77,0.6523137092590332,100.0%,86.8%,0.18
181,1,1,0,N/A,0.98143470287323,100.0%,80.8%,0.18
182,0,0,1,workclass <= 2.251 and occupation <= 10.092,0.9859433174133301,100.0%,76.4%,0.17
183,0,0,1,education-num <= 10.923 and capital-gain <= 4297.154 and age <= 37.888 and relationship > 2.333,0.999779224395752,100.0%,79.2%,0.17
184,0,0,1,native-country <= 21.82 and capital-gain <= 3261.542,0.9856918454170227,100.0%,79.4%,0.18
185,1,0,1,capital-gain <= 4452.916 and workclass > 3.005,0.7007768154144287,100.0%,86.0%,0.18
186,0,0,1,capital-gain <= 7892.444,0.9432246685028076,100.0%,94.2%,0.21
187,0,0,1,capital-loss > -499.7 and workclass > 1.722,0.9998435378074646,100.0%,74.8%,0.18
188,0,0,1,capital-gain <= 5160.177,0.964294970035553,100.0%,90.8%,0.21
189,0,0,1,hours-per-week <= 26.386 and capital-gain <= 5152.64,0.9996729493141174,100.0%,89.6%,0.19
190,0,0,1,capital-loss > -134.207 and capital-gain <= 4299.404,0.9914489984512329,100.0%,75.2%,0.17
191,0,0,1,education-num <= 10.303,0.5107871294021606,100.0%,78.2%,0.20
192,0,0,1,N/A,0.9829812049865723,0.0%,82.4%,0.18
193,0,0,1,capital-gain <= 4126.947,0.6534355878829956,100.0%,81.8%,0.20
194,0,0,1,capital-gain <= 7320.064,0.8499924540519714,100.0%,94.4%,0.17
195,1,1,0,N/A,0.5835364460945129,100.0%,91.8%,0.20
196,0,0,1,N/A,0.9995593428611755,0.0%,91.4%,0.18
197,0,0,1,relationship <= 1.882 and marital-status > 3.196,0.9771783351898193,100.0%,89.0%,0.20
198,0,0,1,capital-gain <= 8489.614,0.9811475276947021,100.0%,91.6%,0.19
199,0,0,1,capital-gain <= 3829.365 and marital-status <= 2.6,0.8464660048484802,100.0%,83.8%,0.18
200,0,1,0,N/A,0.5674925446510315,100.0%,91.2%,0.20
201,0,0,1,sex <= 1.033,0.6161755323410034,100.0%,75.8%,0.18
202,1,1,0,capital-gain > 6684.409,0.9985289573669434,100.0%,92.0%,0.21
203,0,0,1,workclass > 0.272,0.9068192839622498,100.0%,93.2%,0.20
204,1,0,1,capital-gain <= 4666.352,0.899584174156189,100.0%,91.4%,0.18
205,0,0,1,capital-gain <= 7309.402,0.9821682572364807,100.0%,93.4%,0.17
206,0,0,1,N/A,0.7864781022071838,100.0%,89.4%,0.18
207,0,0,1,capital-gain > -15594.605,0.9926889538764954,100.0%,91.4%,0.18
208,1,0,1,N/A,0.7942909002304077,100.0%,74.4%,0.17
209,1,1,0,capital-gain > 5867.323,0.9577486515045166,100.0%,91.8%,0.18
210,0,0,1,native-country > 34.128,0.8207592964172363,100.0%,77.0%,0.18
211,0,0,1,age <= 33.601 and sex <= 0.387 and capital-gain <= 4171.603,0.9997501969337463,100.0%,82.2%,0.18
212,0,0,1,capital-gain <= 7330.787,0.9918623566627502,100.0%,95.2%,0.18
213,0,0,1,N/A,0.9865383505821228,0.0%,89.4%,0.17
214,0,0,1,relationship > 2.874,0.9970632195472717,100.0%,76.6%,0.17
215,0,0,1,N/A,0.9974349141120911,0.0%,88.4%,0.18
216,0,0,1,capital-gain <= 7179.702,0.7897087931632996,100.0%,94.8%,0.19
217,0,0,1,N/A,0.592293918132782,0.0%,90.4%,0.20
218,0,0,1,capital-gain <= 5375.529 and sex <= 0.414,0.9999062418937683,100.0%,82.0%,0.17
219,1,1,0,N/A,0.7318253517150879,0.0%,19.0%,0.17
220,0,0,1,education > 5.452 and occupation > 3.021,0.9943310618400574,100.0%,92.4%,0.16
221,0,0,1,capital-gain <= 6517.174,0.9922038912773132,100.0%,93.0%,0.18
222,0,0,1,workclass > 1.681 and capital-gain <= 4057.799,0.8640376925468445,100.0%,92.8%,0.20
223,0,0,1,N/A,0.8046468496322632,0.0%,91.2%,0.19
224,0,0,1,N/A,0.9375976920127869,0.0%,85.4%,0.18
225,0,0,1,capital-gain <= 7812.826,0.9946087002754211,100.0%,92.4%,0.20
226,0,0,1,capital-gain <= 3496.901 and capital-loss <= 665.724 and occupation > 0.418,0.9938346743583679,100.0%,91.6%,0.17
227,0,0,1,capital-gain <= 4441.642,0.7267313003540039,100.0%,89.8%,0.17
228,0,0,1,capital-gain <= 5063.95 and education-num > 11.696,0.835204005241394,100.0%,90.4%,0.20
229,1,0,1,capital-gain <= 4969.677 and sex > 0.247,0.5702211856842041,100.0%,92.8%,0.19
230,0,0,1,capital-gain <= 5066.396,0.9713088274002075,100.0%,90.4%,0.18
231,0,0,1,race > 3.764 and capital-gain <= 8634.39,0.9953280687332153,100.0%,83.4%,0.19
232,0,0,1,capital-gain <= 5190.637,0.5413106679916382,100.0%,90.6%,0.19
233,0,0,1,capital-gain <= 8702.885,0.7827835083007812,100.0%,93.2%,0.18
