Instance_ID,Actual_Class,Predicted_Class,Contrast_Class,Counterfactual_Rules,Prediction_Confidence,Confidence,Fidelity,Time_Taken(s)
0,0,0,1,N/A,0.9716397523880005,0.0%,46.6%,0.16
1,1,1,0,mean radius > 11.592,0.9870679974555969,100.0%,54.0%,0.15
2,1,1,0,mean smoothness > 0.091,0.9795662760734558,100.0%,63.4%,0.16
3,0,0,1,N/A,0.9968518614768982,0.0%,46.0%,0.14
4,0,0,1,N/A,0.6110047101974487,100.0%,69.4%,0.16
5,0,0,1,concave points error > 0.014 and worst radius > 16.93,0.9976688027381897,100.0%,61.4%,0.17
6,1,1,0,radius error <= 0.251 and worst concave points <= 0.065 and worst texture <= 19.866,0.996254563331604,100.0%,63.4%,0.16
7,0,0,1,worst radius > 14.735 and worst concave points > 0.135,0.9970722794532776,100.0%,64.6%,0.16
8,1,1,0,worst area <= 814.734,0.9973791837692261,100.0%,64.6%,0.17
9,0,0,1,N/A,0.9968444108963013,0.0%,48.8%,0.15
10,1,1,0,N/A,0.9987313151359558,0.0%,52.2%,0.15
11,1,1,0,smoothness error > 0.003,0.9870736598968506,100.0%,63.8%,0.15
12,0,0,1,mean texture > 20.624 and mean symmetry > 0.123,0.9987842440605164,100.0%,59.4%,0.16
13,0,1,0,N/A,0.8667887449264526,100.0%,68.6%,0.17
14,1,1,0,worst concave points <= 0.156,0.9945163130760193,100.0%,59.0%,0.18
15,0,0,1,N/A,0.5665795803070068,100.0%,68.8%,0.18
16,0,0,1,N/A,0.9977555871009827,100.0%,49.8%,0.16
17,1,1,0,mean compactness > 0.153,0.6919098496437073,100.0%,66.4%,0.16
18,1,1,0,N/A,0.9940382242202759,0.0%,49.0%,0.14
19,1,1,0,mean compactness > 0.007,0.9920350909233093,100.0%,50.6%,0.15
20,1,1,0,worst area <= 706.981,0.9988723397254944,100.0%,66.0%,0.16
21,1,1,0,worst compactness > 0.056,0.9901536107063293,100.0%,59.8%,0.16
22,1,1,0,symmetry error > 0.019,0.9880857467651367,100.0%,58.6%,0.16
23,0,0,1,worst concave points > 0.148 and worst area > 822.277,0.9991236329078674,100.0%,65.8%,0.15
24,0,0,1,N/A,0.9986086487770081,0.0%,53.6%,0.14
25,1,1,0,worst concave points <= 0.158,0.9595505595207214,100.0%,62.6%,0.16
26,1,1,0,mean smoothness <= 0.09 and worst concavity <= 0.434,0.99527907371521,100.0%,65.8%,0.16
27,1,1,0,worst area <= 1068.55,0.9869521856307983,100.0%,64.6%,0.15
28,0,0,1,N/A,0.9955762028694153,0.0%,46.8%,0.15
29,0,0,1,worst texture > 22.111 and mean smoothness > 0.098,0.9991655349731445,100.0%,57.2%,0.15
30,1,1,0,N/A,0.9873932600021362,100.0%,56.2%,0.16
31,0,0,1,N/A,0.998548686504364,0.0%,48.6%,0.15
32,1,1,0,mean area > 280.792,0.995275616645813,100.0%,67.6%,0.17
33,1,1,0,worst radius <= 16.467,0.998684823513031,100.0%,61.2%,0.14
34,0,0,1,N/A,0.9983360171318054,0.0%,48.0%,0.14
35,1,1,0,worst concavity <= 0.178 and symmetry error > 0.025,0.999114453792572,100.0%,59.0%,0.15
36,1,1,0,N/A,0.5059464573860168,0.0%,65.2%,0.17
37,1,1,0,symmetry error <= 0.029,0.9984768033027649,100.0%,68.0%,0.16
38,1,1,0,worst radius <= 19.398,0.9973481893539429,100.0%,65.0%,0.17
39,1,1,0,N/A,0.9859524965286255,99.5%,65.0%,0.16
40,1,1,0,N/A,0.9624596834182739,100.0%,64.0%,0.17
41,0,0,1,area error > 3.436,0.9674894213676453,100.0%,57.2%,0.15
42,1,1,0,fractal dimension error > 0.003,0.998286783695221,100.0%,59.2%,0.14
43,1,1,0,N/A,0.9992458820343018,0.0%,48.8%,0.14
44,1,1,0,N/A,0.9985105395317078,100.0%,56.6%,0.16
45,1,1,0,symmetry error > 0.003,0.9710983633995056,100.0%,69.4%,0.17
46,1,1,0,symmetry error > 0.015 and worst texture <= 26.891,0.8660237193107605,100.0%,58.6%,0.16
47,1,1,0,worst concave points <= 0.11,0.9988184571266174,100.0%,65.6%,0.15
48,1,1,0,symmetry error > 0.013 and worst perimeter <= 72.249 and texture error > 1.107 and worst symmetry > 0.287,0.9986554384231567,100.0%,51.2%,0.14
49,0,0,1,N/A,0.9758249521255493,100.0%,52.4%,0.15
50,1,1,0,N/A,0.9930980801582336,100.0%,59.4%,0.15
51,1,1,0,worst area <= 634.632,0.9964475631713867,100.0%,67.2%,0.15
52,0,0,1,worst perimeter > 119.291 and worst area > 1263.539,0.9976388216018677,100.0%,64.6%,0.15
53,0,0,1,mean radius > 11.424,0.9970031380653381,100.0%,52.2%,0.15
54,1,1,0,worst concave points <= 0.11,0.9959539175033569,100.0%,66.4%,0.17
55,1,1,0,worst concave points <= 0.164,0.9954557418823242,100.0%,66.6%,0.16
56,0,0,1,N/A,0.9983113408088684,0.0%,46.8%,0.15
57,1,1,0,worst concave points <= 0.114,0.9957549571990967,100.0%,62.2%,0.16
58,1,1,0,worst concave points <= 0.124,0.9942377805709839,100.0%,55.8%,0.16
59,1,1,0,N/A,0.8614878058433533,100.0%,66.8%,0.17
60,0,0,1,worst radius > 15.329 and compactness error > 0.027,0.9986254572868347,100.0%,55.6%,0.14
61,0,0,1,N/A,0.9934269189834595,0.0%,64.0%,0.15
62,0,0,1,mean smoothness > 0.076,0.9960405826568604,100.0%,61.0%,0.16
63,1,1,0,mean concave points <= 0.011 and worst radius > 7.53,0.997491717338562,100.0%,49.6%,0.16
64,1,1,0,area error <= 55.769,0.9952123165130615,100.0%,61.0%,0.16
65,1,1,0,mean symmetry > 0.169 and worst concave points <= 0.136,0.9983025789260864,100.0%,57.4%,0.15
66,1,1,0,N/A,0.9941171407699585,100.0%,55.2%,0.15
67,0,0,1,N/A,0.9712147116661072,0.0%,49.0%,0.15
68,1,1,0,concave points error <= 0.005,0.9982439279556274,100.0%,55.2%,0.15
69,1,1,0,mean compactness > 0.018,0.9895902276039124,100.0%,55.4%,0.15
70,0,0,1,N/A,0.9984224438667297,0.0%,52.6%,0.15
71,0,0,1,worst concave points > 0.12 and worst concavity > 0.183,0.9987399578094482,100.0%,62.2%,0.17
72,0,0,1,perimeter error > 3.133 and concave points error > 0.012,0.9784437417984009,100.0%,55.4%,0.15
73,0,0,1,N/A,0.9987390637397766,0.0%,46.0%,0.15
74,1,1,0,N/A,0.9775066375732422,100.0%,66.4%,0.18
75,1,1,0,worst concave points <= 0.153,0.9968357682228088,100.0%,65.4%,0.16
76,1,0,1,fractal dimension error <= 0.003,0.5360394716262817,100.0%,60.0%,0.16
77,1,1,0,area error <= 34.279,0.9985014200210571,100.0%,66.0%,0.16
78,0,0,1,worst fractal dimension > 0.066 and worst perimeter > 111.112,0.9977782964706421,100.0%,67.6%,0.17
79,1,1,0,worst concave points <= 0.081,0.993678629398346,100.0%,63.8%,0.15
80,1,1,0,worst radius <= 17.793,0.9994321465492249,100.0%,63.0%,0.15
81,1,1,0,area error <= 28.659 and fractal dimension error <= 0.005,0.9902764558792114,100.0%,60.0%,0.16
82,0,0,1,worst texture > 23.315,0.9942086935043335,100.0%,54.8%,0.15
83,1,1,0,concave points error <= 0.017,0.9992581009864807,100.0%,54.6%,0.16
84,0,0,1,N/A,0.9992556571960449,0.0%,48.2%,0.14
85,1,1,0,mean fractal dimension > 0.059,0.9972453117370605,100.0%,57.6%,0.15
86,1,1,0,worst concave points <= 0.157,0.9983304142951965,100.0%,66.8%,0.15
87,0,0,1,N/A,0.9992220401763916,0.0%,45.0%,0.15
88,0,0,1,N/A,0.9733152985572815,0.0%,48.0%,0.15
89,0,0,1,worst texture > 21.33 and worst compactness > 0.164 and mean texture > 14.537,0.9985160827636719,100.0%,57.8%,0.15
90,0,0,1,N/A,0.9976088404655457,0.0%,47.4%,0.14
91,1,1,0,mean radius <= 12.701 and worst symmetry <= 0.284,0.9969168901443481,100.0%,64.2%,0.16
92,1,1,0,worst smoothness > 0.108 and texture error > 1.049,0.9976670742034912,100.0%,62.6%,0.16
93,1,1,0,worst perimeter <= 94.154 and worst concave points <= 0.058,0.996759831905365,100.0%,60.4%,0.16
94,1,1,0,mean texture <= 22.188,0.9968504309654236,100.0%,57.8%,0.14
95,1,1,0,mean symmetry > 0.16 and mean smoothness > 0.091,0.9853157997131348,100.0%,60.0%,0.16
96,0,0,1,worst concavity > 0.082,0.9981243014335632,100.0%,62.2%,0.15
97,1,1,0,worst perimeter > 74.66 and mean concave points > 0.016,0.9994778037071228,100.0%,50.4%,0.14
98,0,1,0,N/A,0.7751608490943909,0.0%,49.0%,0.15
99,1,1,0,N/A,0.9961113333702087,0.0%,51.2%,0.14
100,1,1,0,worst fractal dimension > 0.049,0.9816077947616577,100.0%,58.8%,0.17
101,1,1,0,worst texture <= 28.543 and symmetry error > 0.019,0.9975737929344177,100.0%,58.8%,0.16
102,1,1,0,N/A,0.9842242002487183,0.0%,68.6%,0.17
103,0,0,1,mean radius > 10.874,0.9946960806846619,100.0%,67.0%,0.16
104,1,1,0,N/A,0.740677535533905,100.0%,70.0%,0.16
105,1,1,0,worst concavity <= 0.079 and fractal dimension error <= 0.003 and concavity error <= 0.026,0.9965901374816895,100.0%,62.6%,0.17
106,1,1,0,worst concave points <= 0.153,0.9754862189292908,100.0%,68.0%,0.16
107,1,1,0,worst texture <= 29.342,0.9983389377593994,93.1%,57.6%,0.14
108,0,0,1,N/A,0.9892483949661255,100.0%,60.6%,0.16
109,1,1,0,worst smoothness <= 0.121 and worst area <= 670.154,0.9914454221725464,100.0%,70.8%,0.17
110,0,0,1,worst concavity <= 0.277 and smoothness error <= 0.01,0.8838361501693726,100.0%,60.4%,0.17
111,1,1,0,N/A,0.9990299940109253,100.0%,61.6%,0.18
112,0,0,1,area error > 39.09,0.8493586182594299,100.0%,62.8%,0.16
113,1,1,0,N/A,0.998978853225708,0.0%,52.6%,0.15
114,1,1,0,N/A,0.9981029033660889,0.0%,52.4%,0.15
115,0,0,1,texture error <= 1.066,0.982887327671051,76.1%,53.2%,0.15
116,0,1,0,area error <= 42.925,0.8641122579574585,100.0%,63.6%,0.15
117,1,1,0,worst area <= 837.145 and perimeter error > 1.497 and mean smoothness > 0.086,0.5318437218666077,100.0%,67.0%,0.18
118,1,1,0,N/A,0.9978514909744263,0.0%,54.8%,0.15
119,0,0,1,N/A,0.99813312292099,0.0%,48.8%,0.15
120,1,1,0,mean texture <= 18.545 and mean area > 385.724,0.9986017346382141,100.0%,65.4%,0.17
121,1,1,0,worst radius <= 16.686,0.9988701939582825,100.0%,66.2%,0.17
122,0,0,1,N/A,0.9980112314224243,0.0%,46.6%,0.15
123,1,1,0,mean fractal dimension <= 0.061 and mean concavity <= 0.154,0.9980205297470093,100.0%,53.2%,0.16
124,0,1,0,N/A,0.640357494354248,100.0%,58.0%,0.15
125,1,1,0,N/A,0.9986432194709778,100.0%,51.2%,0.15
126,1,1,0,worst texture <= 24.348,0.9781442284584045,100.0%,69.2%,0.17
127,0,0,1,worst area > 370.617,0.9981350898742676,100.0%,56.8%,0.16
128,1,1,0,worst area <= 734.101,0.9587961435317993,100.0%,58.4%,0.15
129,1,1,0,worst concave points <= 0.118 and compactness error > 0.017,0.9955047965049744,100.0%,67.6%,0.17
130,1,1,0,worst area <= 957.199,0.9971029162406921,100.0%,68.0%,0.16
131,1,1,0,worst perimeter <= 96.899 and area error <= 33.92,0.998921275138855,100.0%,59.0%,0.15
132,0,0,1,N/A,0.9913904666900635,0.0%,46.4%,0.15
133,1,1,0,worst texture <= 26.162,0.9879943132400513,100.0%,60.0%,0.17
134,0,0,1,worst texture > 23.71,0.9991656541824341,100.0%,60.4%,0.15
135,1,1,0,N/A,0.9869825839996338,0.0%,50.0%,0.14
136,0,0,1,N/A,0.9926694631576538,100.0%,56.8%,0.16
137,1,1,0,N/A,0.9583039879798889,100.0%,64.0%,0.15
138,0,1,0,worst radius <= 18.283,0.6368705630302429,100.0%,67.4%,0.16
139,1,1,0,area error <= 61.073,0.9455452561378479,100.0%,64.6%,0.19
140,1,1,0,worst area <= 814.96 and worst concavity <= 0.328,0.9942360520362854,100.0%,66.0%,0.16
141,1,1,0,area error <= 38.2 and mean radius > 9.194,0.9990707635879517,100.0%,65.2%,0.17
142,0,0,1,N/A,0.9980697631835938,0.0%,48.4%,0.16
143,0,0,1,smoothness error > 0.005 and compactness error > 0.012,0.9968047738075256,100.0%,51.0%,0.15
144,0,0,1,N/A,0.9985001087188721,0.0%,50.6%,0.15
145,0,0,1,worst concave points > 0.112,0.9976806640625,100.0%,58.0%,0.16
146,0,0,1,N/A,0.9986814856529236,0.0%,44.6%,0.15
147,1,1,0,mean smoothness > 0.096,0.9988744854927063,100.0%,51.4%,0.15
148,1,1,0,N/A,0.7003558278083801,100.0%,61.0%,0.18
149,1,1,0,N/A,0.9985905289649963,0.0%,51.2%,0.16
150,1,1,0,worst radius <= 16.487,0.9957838654518127,100.0%,63.6%,0.16
151,1,1,0,worst concave points <= 0.16,0.9991933703422546,100.0%,62.2%,0.15
152,0,0,1,N/A,0.9992291331291199,0.0%,46.6%,0.15
153,1,1,0,mean radius <= 12.568 and worst smoothness <= 0.141 and smoothness error > 0.007,0.9462187886238098,100.0%,61.6%,0.18
154,0,0,1,worst concave points > 0.107 and mean concavity > 0.144,0.9991183280944824,100.0%,61.2%,0.17
155,1,1,0,worst texture <= 27.195 and texture error <= 1.15 and worst concavity <= 0.22,0.9985899329185486,100.0%,61.8%,0.16
156,1,1,0,symmetry error > 0.007 and mean concave points > 0.002,0.9986477494239807,100.0%,60.4%,0.18
157,0,0,1,N/A,0.9968255758285522,0.0%,69.2%,0.18
158,1,1,0,mean area <= 820.745 and worst concave points <= 0.123,0.9978633522987366,100.0%,59.4%,0.16
159,1,1,0,worst concave points <= 0.139,0.9986144304275513,100.0%,71.2%,0.17
160,0,0,1,worst area > 827.472 and worst concave points > 0.15,0.9987670183181763,100.0%,68.2%,0.16
161,0,0,1,fractal dimension error <= 0.007,0.9807600378990173,100.0%,64.8%,0.17
162,1,1,0,mean perimeter > 77.637 and concavity error > 0.024,0.9172416925430298,100.0%,58.4%,0.17
163,1,1,0,worst concave points <= 0.128,0.9957346320152283,100.0%,64.2%,0.17
164,0,0,1,N/A,0.9982119798660278,0.0%,49.6%,0.15
165,1,1,0,compactness error <= 0.037 and worst radius <= 16.388,0.9952515363693237,100.0%,66.6%,0.15
166,1,1,0,mean concave points <= 0.046,0.9974520802497864,100.0%,52.6%,0.16
167,1,1,0,worst perimeter <= 135.876 and worst texture <= 21.854,0.99920254945755,100.0%,57.8%,0.16
168,1,0,1,N/A,0.665614128112793,100.0%,59.0%,0.16
169,0,0,1,compactness error <= 0.012 and mean symmetry > 0.146 and mean area > 349.055,0.9930810928344727,100.0%,59.8%,0.17
170,1,1,0,worst area <= 1134.536,0.9987457990646362,100.0%,63.2%,0.16
