Instance_ID,Actual_Class,Predicted_Class,Contrast_Class,Counterfactual_Rules,Prediction_Confidence,Confidence,Fidelity,Time_Taken(s)
0,Good Credit,Good Credit,Bad Credit,N/A,0.9606301525588264,0.0%,84.0%,0.15
1,Good Credit,Good Credit,Bad Credit,N/A,0.840881627838554,0.0%,85.6%,0.10
2,Good Credit,Good Credit,Bad Credit,N/A,0.5587372446229392,0.0%,84.4%,0.11
3,Good Credit,Good Credit,Bad Credit,N/A,0.8746284694106159,0.0%,84.6%,0.10
4,Good Credit,Good Credit,Bad Credit,N/A,0.5675266701023873,0.0%,85.8%,0.10
5,Good Credit,Good Credit,Bad Credit,N/A,0.9501191613342939,0.0%,86.2%,0.10
6,Good Credit,Good Credit,Bad Credit,N/A,0.9180387044343199,0.0%,85.0%,0.10
7,Good Credit,Good Credit,Bad Credit,N/A,0.7623763175030642,0.0%,88.2%,0.13
8,Good Credit,Good Credit,Bad Credit,N/A,0.5788962700053522,0.0%,87.8%,0.16
9,Bad Credit,Bad Credit,Good Credit,N/A,0.6630328085621839,0.0%,15.4%,0.20
10,Bad Credit,Bad Credit,Good Credit,N/A,0.6929986357881751,0.0%,13.2%,0.12
11,Good Credit,Bad Credit,Good Credit,N/A,0.569626925860504,0.0%,15.4%,0.12
12,Good Credit,Good Credit,Bad Credit,N/A,0.9917687592383955,0.0%,89.0%,0.15
13,Bad Credit,Bad Credit,Good Credit,N/A,0.7553274791420372,0.0%,15.4%,0.15
14,Good Credit,Bad Credit,Good Credit,N/A,0.7221809957990859,0.0%,16.4%,0.11
15,Bad Credit,Bad Credit,Good Credit,N/A,0.8088097877907032,0.0%,16.2%,0.10
16,Good Credit,Good Credit,Bad Credit,N/A,0.8029556079233459,0.0%,86.4%,0.12
17,Bad Credit,Bad Credit,Good Credit,N/A,0.7179824340865658,0.0%,15.2%,0.10
18,Good Credit,Good Credit,Bad Credit,N/A,0.9739718072975418,0.0%,85.6%,0.10
19,Good Credit,Good Credit,Bad Credit,N/A,0.678590375238525,0.0%,88.2%,0.11
