Instance_ID,Actual_Class,Predicted_Class,Contrast_Class,Counterfactual_Rules,Prediction_Confidence,Confidence,Fidelity,Time_Taken(s)
0,Good Credit,Good Credit,Bad Credit,N/A,0.9341136915015028,0.0%,97.6%,0.21
1,Good Credit,Good Credit,Bad Credit,N/A,0.742640125910953,0.0%,98.2%,0.16
2,Good Credit,Good Credit,Bad Credit,N/A,0.6332242116109668,0.0%,97.6%,0.15
3,Good Credit,Good Credit,Bad Credit,N/A,0.8868017250365972,0.0%,98.2%,0.16
4,Good Credit,Good Credit,Bad Credit,N/A,0.7147630813628553,0.0%,97.4%,0.22
5,Good Credit,Good Credit,Bad Credit,N/A,0.8953918443169772,0.0%,97.6%,0.17
6,Good Credit,Good Credit,Bad Credit,N/A,0.9025051679718206,0.0%,98.0%,0.18
7,Good Credit,Good Credit,Bad Credit,N/A,0.7317964186150163,0.0%,97.6%,0.16
8,Good Credit,Good Credit,Bad Credit,N/A,0.6073934434965416,0.0%,98.2%,0.17
9,Bad Credit,Good Credit,Bad Credit,N/A,0.5788014837431343,0.0%,97.2%,0.15
10,Bad Credit,Bad Credit,Good Credit,N/A,0.5142770292412737,0.0%,3.4%,0.14
11,Good Credit,Bad Credit,Good Credit,N/A,0.5143087285352524,0.0%,2.0%,0.14
12,Good Credit,Good Credit,Bad Credit,N/A,0.9644453036581464,0.0%,98.2%,0.15
13,Bad Credit,Good Credit,Bad Credit,N/A,0.5390649100227922,0.0%,96.8%,0.15
14,Good Credit,Good Credit,Bad Credit,N/A,0.5085093999685196,0.0%,98.2%,0.15
15,Bad Credit,Bad Credit,Good Credit,N/A,0.5102117823737831,0.0%,3.0%,0.15
16,Good Credit,Good Credit,Bad Credit,N/A,0.6757929006501443,0.0%,96.4%,0.17
17,Bad Credit,Bad Credit,Good Credit,N/A,0.5074583534432621,0.0%,3.8%,0.16
18,Good Credit,Good Credit,Bad Credit,N/A,0.9600808911606279,0.0%,97.6%,0.16
19,Good Credit,Good Credit,Bad Credit,N/A,0.7034287992871491,0.0%,97.4%,0.16
20,Bad Credit,Bad Credit,Good Credit,N/A,0.5237664583807884,0.0%,2.2%,0.16
21,Good Credit,Good Credit,Bad Credit,N/A,0.8653689098243806,0.0%,97.0%,0.15
22,Good Credit,Good Credit,Bad Credit,N/A,0.9083929065687647,0.0%,98.6%,0.15
23,Good Credit,Good Credit,Bad Credit,N/A,0.7945449631037275,0.0%,97.2%,0.15
24,Bad Credit,Good Credit,Bad Credit,N/A,0.6802895823861712,0.0%,97.6%,0.16
25,Good Credit,Good Credit,Bad Credit,N/A,0.7157273790376523,0.0%,98.2%,0.15
26,Good Credit,Good Credit,Bad Credit,N/A,0.6820819950575218,0.0%,97.6%,0.17
27,Good Credit,Good Credit,Bad Credit,N/A,0.7192020565229765,0.0%,97.6%,0.15
28,Good Credit,Good Credit,Bad Credit,N/A,0.8795808642115458,0.0%,98.0%,0.15
29,Bad Credit,Good Credit,Bad Credit,N/A,0.6645173234036877,0.0%,96.6%,0.17
30,Good Credit,Good Credit,Bad Credit,N/A,0.9035381860975145,0.0%,97.8%,0.15
31,Bad Credit,Good Credit,Bad Credit,N/A,0.6224909886442895,0.0%,97.6%,0.14
32,Bad Credit,Good Credit,Bad Credit,N/A,0.7042452328443634,0.0%,98.4%,0.14
33,Good Credit,Good Credit,Bad Credit,N/A,0.8471530473421539,0.0%,97.8%,0.14
34,Good Credit,Good Credit,Bad Credit,N/A,0.5712130212287404,0.0%,97.6%,0.14
35,Bad Credit,Good Credit,Bad Credit,N/A,0.5735832793683852,0.0%,97.0%,0.14
36,Good Credit,Good Credit,Bad Credit,N/A,0.8786230634828561,0.0%,98.6%,0.14
37,Good Credit,Good Credit,Bad Credit,N/A,0.856138432419494,0.0%,97.0%,0.15
38,Good Credit,Good Credit,Bad Credit,N/A,0.8699528977553597,0.0%,98.4%,0.14
39,Good Credit,Good Credit,Bad Credit,N/A,0.7851745264084539,0.0%,98.2%,0.14
40,Good Credit,Good Credit,Bad Credit,N/A,0.6278355327477465,0.0%,97.2%,0.14
41,Bad Credit,Good Credit,Bad Credit,N/A,0.5922465901420959,0.0%,97.8%,0.14
42,Good Credit,Good Credit,Bad Credit,N/A,0.9420746260116795,0.0%,97.8%,0.15
43,Bad Credit,Good Credit,Bad Credit,N/A,0.6506869289092891,0.0%,97.4%,0.14
44,Good Credit,Good Credit,Bad Credit,N/A,0.9244179277825327,0.0%,99.0%,0.14
45,Good Credit,Good Credit,Bad Credit,N/A,0.5770272616005441,0.0%,98.2%,0.14
46,Good Credit,Good Credit,Bad Credit,N/A,0.8324154966556992,0.0%,96.4%,0.14
47,Good Credit,Good Credit,Bad Credit,N/A,0.7052318151201766,0.0%,97.6%,0.14
48,Bad Credit,Good Credit,Bad Credit,N/A,0.6144512396463173,0.0%,98.0%,0.14
49,Bad Credit,Good Credit,Bad Credit,N/A,0.5242624535163292,0.0%,99.0%,0.15
50,Bad Credit,Good Credit,Bad Credit,N/A,0.7091007523681196,0.0%,98.0%,0.14
51,Bad Credit,Bad Credit,Good Credit,N/A,0.5086445168745446,0.0%,1.8%,0.14
52,Bad Credit,Good Credit,Bad Credit,N/A,0.8242666971797195,0.0%,98.0%,0.15
53,Good Credit,Good Credit,Bad Credit,N/A,0.6794398161292164,0.0%,98.4%,0.14
54,Bad Credit,Bad Credit,Good Credit,N/A,0.6148878670869424,0.0%,2.8%,0.14
55,Bad Credit,Bad Credit,Good Credit,N/A,0.5632421760266303,0.0%,1.6%,0.14
56,Bad Credit,Good Credit,Bad Credit,N/A,0.651576978324056,0.0%,98.4%,0.14
57,Good Credit,Good Credit,Bad Credit,N/A,0.7173271867208739,0.0%,98.4%,0.14
58,Good Credit,Bad Credit,Good Credit,N/A,0.5012683019556318,0.0%,2.2%,0.15
59,Bad Credit,Good Credit,Bad Credit,N/A,0.7676568706585862,0.0%,98.6%,0.14
